provide a forum for@R@	provide the opportunity for@R@
give at@R@	present at@R@
play an important part in@R@	play an important role in@R@
be the story of	be the study of
refuse to	wish to
plunge	come down
be punished for	be guilty of
live of	run of
work for	want to work for
don want	don need
be addressed in	be examined in
be kept out of@R@	be all out of@R@
expel@R@	wipe out@R@
penetrate	be destroyed by@R@
be trained by	force@R@
decide to use@R@	begin to use@R@
enter into@R@	take in@R@
laugh	smile
use of@R@	make use of@R@
enjoy@R@	on@R@
use to	like to
know a lot of@R@	watch a lot of@R@
have responsibility for	be held responsible for
nourish@R@	nurture@R@
plan to do	plan on do
spend money on	pass on
be integrated with	be integrated in
be featured on@R@	star in@R@
amaze@R@	puzzle@R@
look to be@R@	be sure to be@R@
catch in@R@	take in@R@
continue to use	be encouraged to use
mean nothing to@R@	mean@R@
affect on	affect
post in	file in
learn on	watch on
aim to make	choose to make
drown in@R@	travel in@R@
be offensive to	hurt
begin to understand@R@	lose sight of@R@
occur from	range from
hope to see@R@	hope to have@R@
cook in@R@	fry@R@
rise to	spring to
decide to go for@R@	head for@R@
store@R@	take in@R@
keep make@R@	end up make@R@
be supportive of@R@	help support@R@
enact@R@	spend@R@
be available at@R@	be available from@R@
need to keep@R@	need to maintain@R@
know the history of	know everything about
reach out for@R@	grab for@R@
look for@R@	research@R@
be classed as@R@	be viewed as@R@
take some time for@R@	take a long time for@R@
tend to be@R@	prove to be@R@
provide an overview of@R@	provide an introduction to@R@
manage	be directed by@R@
seem kind of	be a variety of
neglect@R@	omit@R@
please tell@R@	please help@R@
define in@R@	qualify in@R@
differentiate between@R@	distinguish between@R@
kick off	kick in
test positive for	be checked for
be chair of	chair
realize in@R@	earn in@R@
provide in@R@	have more in@R@
be angry at	be angry with
confuse	mistake
be discovered by@R@	identify
display in	be displayed in
do one of	have many of
have many of@R@	see many of@R@
end for	suck for
email to@R@	send an email to@R@
be simple in@R@	be similar in@R@
creep up on	come up on
claim in@R@	draw in@R@
happen after@R@	go after@R@
be unable to find@R@	be to find@R@
live by	run by
be the beginning of@R@	be the creator of@R@
cite in	write in
require to	take to
be brought in	be tried in
be popular with@R@	be a favorite of@R@
draw to	come to
start write@R@	begin write@R@
forget to	have to
be done at@R@	be given at@R@
provide support for	provide support to
feel sorry for@R@	receive for@R@
stop use@R@	be allergic to@R@
forget to	be sure to
come at@R@	occur at@R@
lurk in	stay in
take up to	begin to take
rent@R@	hire in@R@
shop	market
be simple in@R@	be identical in@R@
flow into	into
meet up with@R@	be met by
set fire to	fire on
buy one of@R@	want one of@R@
spend some time in@R@	disappear in@R@
be the intention of	be the policy of
echo	recount
appear on	show up on
be a threat to	be dangerous to
carry on	on
sing about@R@	be spoken by
sort out	be sorted by@R@
be difficult to@R@	be great to@R@
matter@R@	be counted as@R@
have a positive effect on	have a negative effect on
be imperative for@R@	be a good idea for@R@
trash	cut out
be one part of@R@	be a part of@R@
dont make	start to make
be customized for@R@	be adapted for@R@
look kind of	be a sort of
find lot of@R@	find plenty of@R@
hesitate@R@	break for@R@
shut off	turn on
be included as	be intended as
be devastated by	bring out@R@
swear	affirm
hear of@R@	know of@R@
be featured in	feature in
develop for@R@	raise money for@R@
be careful of@R@	care more about@R@
compromise@R@	affect@R@
walk past	walk by
be dispatched to@R@	be called to@R@
enjoy with	have with
turn on	be by@R@
come for	go in for
crawl to@R@	run to@R@
inject@R@	add@R@
resurrect@R@	be raised by
get bored with	get sick of
land on	arrive on
be given by	be by
be planned in	be run in
be successful with@R@	come through in@R@
be intended for@R@	be suited for@R@
be attractive to	be caught by@R@
fulfill	abide by
spend with	enjoy spend time with
stretch@R@	stretch out@R@
be accepted by@R@	accept
be considered as@R@	be regarded as@R@
get to talk to@R@	chat to@R@
linger in@R@	continue in@R@
appear to be	be gonna be
be restored to@R@	restore@R@
deem@R@	regard@R@
be developed for	be written for
have a problem with@R@	have with@R@
dont do	don see
finish@R@	please fill out@R@
be reflective of@R@	be a manifestation of@R@
compute@R@	work@R@
be treated by	be covered by
be possible without@R@	be left without@R@
recommend for	suggest for
be appreciative of@R@	spot@R@
recommend to	provide to
have mercy on	create
admit to@R@	involve@R@
be a director of@R@	be directed by
recognize the importance of@R@	understand the value of@R@
condone	be explained by@R@
do the same for@R@	don need@R@
advance to@R@	build up to@R@
establish	pioneer
spy on@R@	acknowledge@R@
preach	suggest use
occur during@R@	take place during@R@
move for	ride for
be made as@R@	be made@R@
migrate	move
be deprived of	be refused
transfer	ship in
add a bit of	take a bit of
be available by	be available upon
begin@R@	start out@R@
be allowed in	be allowed to enter
be interested in join@R@	want to join@R@
roll up@R@	go down in@R@
have an interest in@R@	have a special interest in@R@
want as@R@	need as@R@
have an interest in@R@	express interest in@R@
start from	depart
nurture@R@	nourish@R@
be low in@R@	be higher in@R@
start work at	work at
be one aspect of	be an expression of
use be	choose be
bore@R@	use up@R@
need as@R@	as@R@
hand over@R@	be given by
make out of	be made of
like to find@R@	need to see@R@
cry@R@	call out@R@
eat in@R@	in@R@
fill	abide by
deduce@R@	retire@R@
get interested in	be more interested in
be resistant to@R@	be prone to@R@
exist between	happen between
trust in	have in
experience with	have no experience with
be a graduate of@R@	be educated at@R@
advance in	progress in
didnt like	like
make extensive use of	be the use of
survive for	endure for
use with	eat with
make a list of@R@	have a list of@R@
be visible from	be derived from
be taken from	be derived from
forgo@R@	give up@R@
be implemented by@R@	hire in
have the support of	be a strong supporter of
jump onto@R@	bounce off@R@
include a link to	contain link to
stay until	have until
inhale@R@	throw off@R@
come of	fall short of
make about	need about
do most of	do the rest of
be conducted in@R@	be planned in@R@
pay no attention to@R@	tend to@R@
coach@R@	be driven by
have more in@R@	in@R@
know one of	hear some of
let@R@	be allowed by
be within walk distance of@R@	be located in@R@
see a number of	find a variety of
have need of@R@	eat of@R@
be issued to@R@	post to@R@
run with	carry with
be called by@R@	need to call
go to work for@R@	do the work for@R@
drop on@R@	settle on@R@
load	load up
provide information for	be a great resource for
please fill in@R@	fill out@R@
be the idea of	be the meaning of
come in from@R@	fall from@R@
assist@R@	hone@R@
be furnished with@R@	come equipped with@R@
depict	express
need to increase	want to increase
be the victim of	be subjected to
pay no attention to	tend to
be the use of@R@	be possible to use@R@
travel in@R@	float in@R@
die without	come without
itch	stir up
live by	happen by
dial@R@	be by
reply in@R@	tell in@R@
be posted on	be posted at
be popular for@R@	be noted for@R@
make full use of@R@	try use@R@
be provide@R@	be provided by
be the year of	be the last day of
stop do	keep do
mean at@R@	be present at@R@
happen in@R@	occur in@R@
develop for@R@	establish for@R@
be vital for@R@	be critical to@R@
overturn	reconsider
author@R@	be the author of@R@
coach@R@	be trained by
start to do@R@	hope to do@R@
film@R@	be shot by
sail from@R@	sail to@R@
renovate@R@	reinvent@R@
perform on@R@	come out on@R@
stick in@R@	get stuck in@R@
dissect@R@	practice@R@
show up for	be accepted for
regain@R@	find@R@
mean at@R@	at@R@
hurt for@R@	for@R@
be drafted by@R@	write
identify with@R@	join with@R@
include a lot of@R@	contain lot of@R@
be advisable for@R@	make sense for@R@
taunt@R@	harass@R@
establish for@R@	generate for@R@
be vital for@R@	be important to@R@
tend to have	have have
smack@R@	kiss@R@
drop by	stop by
seek for@R@	continue for@R@
involve	cry for
check on	discover on
progress in@R@	advance in@R@
have no use for@R@	continue to use@R@
use a combination of@R@	allow the use of@R@
be rich with	be loaded with
decide to change@R@	add@R@
respond to@R@	point out to@R@
think a lot of	think most of
be situated on	be left on
need access to@R@	have no access to@R@
speed up@R@	hasten@R@
bow@R@	bend@R@
get information on@R@	have information on@R@
occur	happen
glance over at	look over at
be upon@R@	clash with@R@
be rushed to	be admitted to
grow for	rise for
treat	discuss
near	be to
be open in@R@	open in@R@
have a profound effect on@R@	impact on@R@
recruit@R@	procure@R@
refresh@R@	restore@R@
accede to	give way to
enlist in	enrol in
be presented in@R@	be given in@R@
sign in@R@	sign@R@
thrust	soak
log into@R@	get access to@R@
be unusual in@R@	be uncommon in@R@
be sent by	ship in@R@
be a city of	be the state of
dont do	know
like the look of@R@	look a bit like@R@
mirror@R@	reflect on@R@
have a major impact on@R@	have no impact on@R@
pinpoint@R@	determine@R@
uphold	confirm
curb@R@	dampen@R@
decide@R@	compensate@R@
set@R@	assign@R@
scream at@R@	cry at@R@
require the use of	be done use
be possible to use@R@	be recommended to use@R@
have a collection of	be collected by@R@
design	create
be sure to be	turn out to be
comfort@R@	calm@R@
provide an introduction to	introduce the concept of
pull at@R@	pull@R@
confront@R@	be confronted by
hunt for@R@	hunt@R@
remember the name of@R@	know the name of@R@
be a fellow of	be a found member of
end up be	end up
assist with@R@	help with@R@
need a copy of@R@	get a copy of@R@
understand the difference between@R@	know the difference between@R@
sign for	sign up for
add in	figure in
dictate@R@	be dictated by
require a lot of	involve a lot of
see an increase in	need to build
become@R@	be to become@R@
remain true to@R@	be faithful to@R@
set off on@R@	on@R@
be made from	be made up of
hang out on@R@	see on@R@
be an inspiration to	remind
see many of	see most of
be provided as	be designed as
try to install	need to install
be the value of	be the core of
be the symbol of	be a symbol of
be available via@R@	be downloaded from@R@
deem@R@	be regarded by
be cheaper than@R@	be lower than@R@
dominate@R@	be dominated by
sail from@R@	steer@R@
spend with@R@	enjoy spend time with@R@
waste@R@	wipe out@R@
be manufactured in	be produced in
record on	shoot at
try to build@R@	want to play@R@
learn in	hear in
be resolved by	be by
be cheaper than@R@	be harder than@R@
proceed with@R@	continue with@R@
be most interested in	develop an interest in
choose to have@R@	plan to have@R@
preclude	suppress
do to	bring to
teach in@R@	pick up in@R@
overturn	revoke
be more aware of@R@	be aware of@R@
want to own@R@	want to have@R@
interfere in	intervene in
wanna be@R@	like be@R@
plan to visit	come to see
roll out@R@	roll@R@
be alien to@R@	be unknown to@R@
culminate in@R@	end up in@R@
be uncommon for@R@	be more difficult for@R@
compete@R@	agree@R@
pop@R@	take down@R@
like to use@R@	prefer to use@R@
be the case for	be a day of
refrain from@R@	hold off on@R@
be released on@R@	come out in@R@
do to help	want to improve
combine@R@	mix in@R@
disappear from@R@	pass from@R@
dont use@R@	start use@R@
engage with@R@	engage@R@
come in from	hang from
include a link to	find a link to
customize@R@	add@R@
be left out of	be way out of
be kept at@R@	be kept for@R@
exude@R@	communicate@R@
offer a wide selection of@R@	offer a variety of@R@
be requested by@R@	cry out for
transcend	be reached by@R@
be one of@R@	remain one of@R@
drive for	travel for
spend all of	spend the majority of
be served	be in
lose some of@R@	leave@R@
before@R@	do before@R@
secure	reassure
state to	point out to
ride in@R@	go on in@R@
spend all of	spend of
be positive for@R@	be tested for@R@
have a wealth of@R@	have a great deal of@R@
be all on@R@	be located on@R@
be placed on@R@	be situated on@R@
be present at	present at
chair@R@	be the president of@R@
be about to	be forced to
have a great deal of	have a bunch of
have year of@R@	have a great deal of@R@
be famous for	be known for
be the job of@R@	be the duty of@R@
depart	take off from
stop on@R@	go off on@R@
be normal for@R@	be easier for@R@
use any of	want one of
be critical of	criticize
finish off@R@	please complete@R@
follow on	land on
be more difficult for	be wrong for
amaze@R@	be amazed by
help guide	be directed by@R@
shoot on	shoot at
head on	remain
be achieved by@R@	be reached by@R@
do more for	care about
disrupt	disturb
come out@R@	come out as@R@
be freed from	be free from
like to ask	need to ask
set off on	start out on
be displayed on	display on
revamp@R@	reform@R@
make a list of	get a list of
be similar in	vary in
be rewarded for@R@	be paid in@R@
produce on@R@	emerge on@R@
lose to@R@	defeat@R@
plunge	bury
be poor in@R@	be weak in@R@
battle with	put up with
enlarge	magnify
entitle	qualify
be played on	be played in
dont@R@	wanna@R@
go to work on@R@	get to work on@R@
contain information on@R@	have information about@R@
polish	be moved by@R@
wake	wake up
be a type of@R@	be the kind of@R@
play out@R@	work@R@
be sign of@R@	be indicated by
arrange	arrange for
root for	make up
fool	cheat on
be harder for@R@	make sense for@R@
upload@R@	move@R@
like to know more about	talk more about
like from@R@	draw from@R@
be resolved in@R@	be considered in@R@
exist to	live next to
be developed@R@	be produced@R@
